address,item_index,latitude,longitude,map_url,name,phone,phone_href,raw_data_coord,raw_data_lat,raw_data_long,raw_data_map_url,raw_html
"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",1,41.6294932,46.6420456,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2982.2082035405683!2d46.63933487647419!3d41.62963088093382!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40464b0052b9f3b7%3A0x83216c7137ed3b8!2zWmFxYXRhbGEgcmF5b24gbcmZcmvJmXppIHjJmXN0yZl4YW5hc8Sx!5e0!3m2!1saz!2saz!4v1727088443940!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Zaqatala Rayon Mərkəzi Xəstəxanası,(+9942422) 5-23-00,tel:(+9942422) 5-23-00,"[41.6294932, 46.6420456]",41.6294932,46.6420456,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2982.2082035405683!2d46.63933487647419!3d41.62963088093382!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40464b0052b9f3b7%3A0x83216c7137ed3b8!2zWmFxYXRhbGEgcmF5b24gbcmZcmvJmXppIHjJmXN0yZl4YW5hc8Sx!5e0!3m2!1saz!2saz!4v1727088443940!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[41.6294932, 46.6420456]"" data-lat=""41.6294932"" data-long=""46.6420456"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2982.2082035405683!2d46.63933487647419!3d41.62963088093382!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40464b0052b9f3b7%3A0x83216c7137ed3b8!2zWmFxYXRhbGEgcmF5b24gbcmZcmvJmXppIHjJmXN0yZl4YW5hc8Sx!5e0!3m2!1saz!2saz!4v1727088443940!5m2!1saz!2saz"" width=""600"" height=""450"" styl..."
"Abşeron rayonu, Masazır qəsəbəsi, Əliağa Vahid küçəsi 178",2,40.4836884,49.7796617,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d790058.8335030444!2d46.72605661562498!3d39.329794513388165!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x401629005c5e7a37%3A0xe73734b08eed8ae8!2zWsmZbmdpbGFuIHJheW9udSBBxJ9hbMSxIGvJmW5kIFjJmXN0yZl4YW5hc8Sx!5e0!3m2!1saz!2saz!4v1727090589868!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Zəngilan Rayon Mərkəzi Xəstəxanası,(+99412) 341-46-17,tel:(+99412) 341-46-17,"[40.4836884, 49.7796617]",40.4836884,49.7796617,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d790058.8335030444!2d46.72605661562498!3d39.329794513388165!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x401629005c5e7a37%3A0xe73734b08eed8ae8!2zWsmZbmdpbGFuIHJheW9udSBBxJ9hbMSxIGvJmW5kIFjJmXN0yZl4YW5hc8Sx!5e0!3m2!1saz!2saz!4v1727090589868!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40.4836884, 49.7796617]"" data-lat=""40.4836884"" data-long=""49.7796617"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d790058.8335030444!2d46.72605661562498!3d39.329794513388165!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x401629005c5e7a37%3A0xe73734b08eed8ae8!2zWsmZbmdpbGFuIHJheW9udSBBxJ9hbMSxIGvJmW5kIFjJmXN0yZl4YW5hc8Sx!5e0!3m2!1saz!2saz!4v1727090589868!5m2!1saz!2saz"" width=""600"" height=""..."
"Sumqayıt şəhəri, Heydər Əliyev prospekti 7",3,40.58338888888889,49.67305555555555,,Sumqayıt Tibb Mərkəzi,(+9941865) 4-31-87,tel:(+9941865) 4-31-87,"[40°35'00.2, 49°40'23.0]",40°35'00.2,49°40'23.0,,"<div class=""accordion-header each-item result-item"" data-coord=""[40°35'00.2, 49°40'23.0]"" data-lat=""40°35'00.2"" data-long=""49°40'23.0"" data-map-url="""" style=""border-radius: 12px""> <div class=""info""> <div style=""display: flex;justify-content: space-between;width: 100%;align-items: center;margin-bottom: 10px;""> <h2 class="""">Sumqayıt Tibb Mərkəzi</h2> </div> <div class=""location chip copy-clipboard""> <img alt=""location"" src=""/app/img/svg/location.svg""/> <span>Sumqayıt şəhəri, Heydər Əliyev prospekt..."
"Bakı şəhəri, Xətai rayonu, Xudu Məmmədov küçəsi 4",4,40.3723527,49.9417588,,Bakı Neyrocərrahlıq Xəstəxanası,(+99412) 371-52-01,tel:(+99412) 371-52-01,"[40.3723527, 49.9417588]",40.3723527,49.9417588,,"<div class=""accordion-header each-item result-item"" data-coord=""[40.3723527, 49.9417588]"" data-lat=""40.3723527"" data-long=""49.9417588"" data-map-url="""" style=""border-radius: 12px""> <div class=""info""> <div style=""display: flex;justify-content: space-between;width: 100%;align-items: center;margin-bottom: 10px;""> <h2 class="""">Bakı Neyrocərrahlıq Xəstəxanası</h2> </div> <div class=""location chip copy-clipboard""> <img alt=""location"" src=""/app/img/svg/location.svg""/> <span>Bakı şəhəri, Xətai rayonu, Xu..."
"Zərdab şəhəri, Azərbaycan küçəsi 125",5,40.221084,47.7067177,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3046.450505728671!2d47.70419237642007!3d40.2212845675109!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x403950ec7831d981%3A0xea4efba3769bca58!2zWsmZcmRhYiBSYXlvbiBNyZlya8mZemkgWMmZc3TJmXhhbmFzxLE!5e0!3m2!1saz!2saz!4v1727180022808!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Zərdab Rayon Mərkəzi Xəstəxanası,(+9942029) 6-45-89,tel:(+9942029) 6-45-89,"[40.221084, 47.7067177]",40.221084,47.7067177,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3046.450505728671!2d47.70419237642007!3d40.2212845675109!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x403950ec7831d981%3A0xea4efba3769bca58!2zWsmZcmRhYiBSYXlvbiBNyZlya8mZemkgWMmZc3TJmXhhbmFzxLE!5e0!3m2!1saz!2saz!4v1727180022808!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40.221084, 47.7067177]"" data-lat=""40.221084"" data-long=""47.7067177"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3046.450505728671!2d47.70419237642007!3d40.2212845675109!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x403950ec7831d981%3A0xea4efba3769bca58!2zWsmZcmRhYiBSYXlvbiBNyZlya8mZemkgWMmZc3TJmXhhbmFzxLE!5e0!3m2!1saz!2saz!4v1727180022808!5m2!1saz!2saz"" width=""600"" height=""450"" style=""b..."
"İmişli şəhəri, X.Bəylərov küçəsi 92",6,39.8621994,48.0678652,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3062.5588836521706!2d48.06734697640674!3d39.86171748923181!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x403c77a8e2b36455%3A0x805625e2817e84ed!2zxLBtacWfbGkgUmF5b24gTcmZcmvJmXppIFjJmXN0yZl4YW5hc8Sx!5e0!3m2!1saz!2saz!4v1727180065867!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",İmişli Rayon Mərkəzi Xəstəxanası,(+9942124) 6-24-78,tel:(+9942124) 6-24-78,"[39.8621994, 48.0678652]",39.8621994,48.0678652,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3062.5588836521706!2d48.06734697640674!3d39.86171748923181!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x403c77a8e2b36455%3A0x805625e2817e84ed!2zxLBtacWfbGkgUmF5b24gTcmZcmvJmXppIFjJmXN0yZl4YW5hc8Sx!5e0!3m2!1saz!2saz!4v1727180065867!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[39.8621994, 48.0678652]"" data-lat=""39.8621994"" data-long=""48.0678652"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3062.5588836521706!2d48.06734697640674!3d39.86171748923181!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x403c77a8e2b36455%3A0x805625e2817e84ed!2zxLBtacWfbGkgUmF5b24gTcmZcmvJmXppIFjJmXN0yZl4YW5hc8Sx!5e0!3m2!1saz!2saz!4v1727180065867!5m2!1saz!2saz"" width=""600"" height=""450"" sty..."
"İsmayıllı rayonu, M.F.Axundov küçəsi 65",7,40.7815361,48.1582316,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3021.1371203108492!2d48.15659527644144!3d40.78099953338806!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4039b9f2ddb7d311%3A0xc46f890933f2fbdc!2zxLBzbWF5xLFsbMSxIE3JmXJryZl6aSBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727180138875!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",İsmayıllı Rayon Mərkəzi Xəstəxanası,(+9941228) 5-53-13,tel:(+9941228) 5-53-13,"[40.7815361, 48.1582316]",40.7815361,48.1582316,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3021.1371203108492!2d48.15659527644144!3d40.78099953338806!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4039b9f2ddb7d311%3A0xc46f890933f2fbdc!2zxLBzbWF5xLFsbMSxIE3JmXJryZl6aSBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727180138875!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40.7815361, 48.1582316]"" data-lat=""40.7815361"" data-long=""48.1582316"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3021.1371203108492!2d48.15659527644144!3d40.78099953338806!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4039b9f2ddb7d311%3A0xc46f890933f2fbdc!2zxLBzbWF5xLFsbMSxIE3JmXJryZl6aSBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727180138875!5m2!1saz!2saz"" width=""600"" height=""450"" style..."
"Yardımlı rayonu, Heydər Əliyev küçəsi 224",8,38.90847222222222,48.25827777777778,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3104.6823659660854!2d48.25561617637151!3d38.90837834605542!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4022c4fcaa414ccd%3A0xce1edce4d3305466!2zWWFyZMSxbWzEsSBSYXlvbiBNyZlya8mZemkgWMmZc3TJmXhhbmFzxLEsIFlhcmRpbWxpIHJvYWRzLCBZYXJkxLFtbMSx!5e0!3m2!1saz!2saz!4v1727180172115!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Yardımlı Rayon Mərkəzi Xəstəxanası,(+9942520) 6-10-86,tel:(+9942520) 6-10-86,"[38°54'30.5, 48°15'29.8]",38°54'30.5,48°15'29.8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3104.6823659660854!2d48.25561617637151!3d38.90837834605542!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4022c4fcaa414ccd%3A0xce1edce4d3305466!2zWWFyZMSxbWzEsSBSYXlvbiBNyZlya8mZemkgWMmZc3TJmXhhbmFzxLEsIFlhcmRpbWxpIHJvYWRzLCBZYXJkxLFtbMSx!5e0!3m2!1saz!2saz!4v1727180172115!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[38°54'30.5, 48°15'29.8]"" data-lat=""38°54'30.5"" data-long=""48°15'29.8"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3104.6823659660854!2d48.25561617637151!3d38.90837834605542!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4022c4fcaa414ccd%3A0xce1edce4d3305466!2zWWFyZMSxbWzEsSBSYXlvbiBNyZlya8mZemkgWMmZc3TJmXhhbmFzxLEsIFlhcmRpbWxpIHJvYWRzLCBZYXJkxLFtbMSx!5e0!3m2!1saz!2saz!4v1727180172115!5m2..."
"Yevlax şəhəri, C.Mustafayev küçəsi, ev 105",9,40.5972962,47.1579062,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3029.456259042893!2d47.15548517643437!3d40.59775604460111!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4038dbd9619da2ed%3A0xf5701ee94b5fbcca!2zWWV2bGF4IE3JmXJryZl6aSBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727180206532!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Yevlax Rayon Mərkəzi Xəstəxanası,(+99455) 500-66-51,tel:(+99455) 500-66-51,"[40.5972962, 47.1579062]",40.5972962,47.1579062,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3029.456259042893!2d47.15548517643437!3d40.59775604460111!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4038dbd9619da2ed%3A0xf5701ee94b5fbcca!2zWWV2bGF4IE3JmXJryZl6aSBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727180206532!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40.5972962, 47.1579062]"" data-lat=""40.5972962"" data-long=""47.1579062"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3029.456259042893!2d47.15548517643437!3d40.59775604460111!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4038dbd9619da2ed%3A0xf5701ee94b5fbcca!2zWWV2bGF4IE3JmXJryZl6aSBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727180206532!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:..."
"Gəncə şəhəri, Gülüstan qəsəbəsi, Mirzə Şəfi Vazeh pr. 84",10,40.63757,46.3361848,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d390635.3501597669!2d45.41934028906251!3d40.10130970000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x403fb19039f10b3b%3A0xbb82b4e14fdda58!2zS8mZbGLJmWPJmXIgVGliYiBNyZlya8mZemk!5e0!3m2!1saz!2saz!4v1727180242299!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Kəlbəcər Rayon Mərkəzi Xəstəxanası,(+9942225) 8-08-49,tel:(+9942225) 8-08-49,"[40.63757, 46.3361848]",40.63757,46.3361848,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d390635.3501597669!2d45.41934028906251!3d40.10130970000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x403fb19039f10b3b%3A0xbb82b4e14fdda58!2zS8mZbGLJmWPJmXIgVGliYiBNyZlya8mZemk!5e0!3m2!1saz!2saz!4v1727180242299!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40.63757, 46.3361848]"" data-lat=""40.63757"" data-long=""46.3361848"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d390635.3501597669!2d45.41934028906251!3d40.10130970000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x403fb19039f10b3b%3A0xbb82b4e14fdda58!2zS8mZbGLJmWPJmXIgVGliYiBNyZlya8mZemk!5e0!3m2!1saz!2saz!4v1727180242299!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowful..."
