main_institution,main_address,subsidiary_name,latitude,longitude
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Əliabad Ailə Sağlamlıq Mərkəzi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Danaçı (Fındıqlı) Ailə Sağlamlıq Mərkəzi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Yeni Suvagil Ailə Sağlamlıq Mərkəzi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Aşağı Tala həkim məntəqəsi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Bəhmətli həkim məntəqəsi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Car həkim məntəqəsi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Çobankol həkim məntəqəsi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Danaçı həkim məntəqəsi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Üçüncü Tala həkim məntəqəsi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Dağlı həkim məntəqəsi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Faldarlı həkim məntəqəsi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Göyəm həkim məntəqəsi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Gözbarax həkim məntəqəsi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Kebeloba həkim məntəqəsi,41.6294932,46.6420456
Zaqatala Rayon Mərkəzi Xəstəxanası,"Zaqatala şəhəri, Zərifə Əliyeva küçəsi, 58",Qandax həkim məntəqəsi,41.6294932,46.6420456
